school,state,subject,course_level,time,location,group_type
Clark University -GSOM Metrowest Campus,Georgia,Agronomy and Crop Science,100,2022-12-30,"[42.291134299999996, -71.5517164]",Group
"North Florida Technical College, Florida State Prison",Maryland,Actuarial Science,100,2021-07-27,"[30.05801109999999, -82.18270369999998]",Partner
Southern Illinois University Carbondale at Lewis and Clark Elementary School,Alaska,Home Economics,400,2022-11-27,"[38.8624988, -90.0882441]",Group
Regis University at Northridge High School,Delaware,Russian,100,2021-12-29,"[40.4335005, -104.7860063]",Partner
Arkansas Beauty School - Little Rock,Louisiana,Women's Studies,700,2021-10-30,"[34.67215330000001, -92.343337]",Group
Eastern Arizona College at Swift Trail Correctional Institute,Minnesota,Geography,800,2022-07-29,"[32.717175899999994, -109.7269737]",Partner
Governors State University at Dodge School,Maine,Automotive Engineering,200,2021-07-29,"[41.88267020000001, -87.69291419999998]",Group
Pacific Oaks College -  Pacific Oaks College-San Jose Campus,Nevada,Industrial Management ,800,2021-12-30,"[37.3029625, -121.9505551]",Partner
Benedictine University at Martin Elementary,Nevada,Agricultural Economics,400,2022-10-29,"[42.185858700000004, -88.40722699999998]",Group
"Indiana Institute of Technology at Comfort Inn, Lebanon",New Jersey,Biology,700,2022-08-27,"[40.048192799999995, -86.488875]",Partner
CSU East Bay -  San Ramon Valley Conference Center,Illinois,Plant Pathology,400,2022-11-29,"[37.777898, -121.9668183]",Partner
North Island Naval Air Station,Colorado,Public Health ,500,2022-11-29,"[32.7001706, -117.1893668]",Group
Aurora University at Challenger Learning Center for Science and Technology,Alaska,English,200,2021-07-27,"[42.31591220000001, -88.4456124]",Group
Neosho County Community College at Chanute High School,Maryland,Agricultural Business and Management,500,2021-07-29,"[37.6437095, -95.4732182]",Group
Mount Vernon Township High School,Connecticut,Education,200,2022-12-27,"[38.2896815, -88.94794019999998]",Group
Waterbury School District,Kentucky,Botany/Plant Biology,500,2022-11-29,"[41.5546511, -73.0431868]",Partner
Blount Downtown Center,New Mexico,Sculpture ,800,2022-09-29,"[29.6547211, -82.33056450000001]",Group
Benedictine University at Marie Curie High School,South Carolina,Entomology ,400,2022-10-28,"[41.801854399999996, -87.72187939999998]",Partner
Lurleen B Wallace Community College - Greenville Campus,Nebraska,Management Information Systems,100,2022-11-28,"[31.8371213, -86.61035609999998]",Group
Florida State University,Texas,Islamic Studies ,200,2022-10-29,"[30.440477100000003, -84.290883]",Group
University of Phoenix at California Children's Services - Santa Ana,Georgia,Biopsychology,800,2021-12-28,"[33.7492218, -117.8689629]",Group
Johns Hopkins University at Mitre,Florida,Range Science and Management,500,2021-08-28,"[42.5042024, -71.2361911]",Partner
National Louis University at Craig High School,Vermont,Ethnic Studies,500,2022-08-29,"[42.681726, -89.00075249999998]",Group
Albertus Magnus College at Stratford Learning Center,Illinois,Aerospace Engineering,600,2021-07-27,"[41.164485600000006, -73.15671850000001]",Group
Phillips Community College of The University of Arkansas - DeWitt Campus,Rhode Island,Environmental Design/Architecture,400,2021-11-28,"[34.2725796, -91.3488459]",Group
"University of Phoenix at Vought Aircraft Industries, Inc.",Washington,Computer Engineering,400,2021-12-31,"[33.919667499999996, -118.335126]",Partner
University of Phoenix at MetroHealth System Off-Site (Cleveland),Ohio,Pre-Seminary,800,2021-10-29,"[41.46077460000001, -81.69878620000001]",Group
St. Patrick's Seminary and University,New Hampshire,Economics,500,2021-08-28,"[37.45672830000001, -122.167592]",Group
Indiana Wesleyan University at Lake County Convention/Visitors Center,West Virginia,Women's Studies,500,2021-10-29,"[41.5710217, -87.4627963]",Partner
Nazarene Bible College,Kentucky,Epidemiology,500,2022-12-28,"[38.944715, -104.8030565]",Group
University of Phoenix at Presbyterian Hospital,Utah,Sports Management,100,2021-10-27,"[35.055112, -106.6254463]",Partner
Concorde Career College - Aurora,Nebraska,Biotechnology,500,2021-12-27,"[39.7182107, -104.8659345]",Partner
"Indiana Wesleyan University at Hampton Inn, Plainfield",Mississippi,Furniture Design,500,2021-10-29,"[39.675689500000004, -86.3673744]",Group
Allstate Center,Virginia,Nursing,600,2022-07-29,"[27.7383543, -82.67818129999999]",Group
"University of Arizona-Sunnyside, Los Ninos Elementary School",Rhode Island,Statistics ,200,2022-08-29,"[32.1531951, -110.90819270000001]",Group
Saint Anthony College of Nursing,Arkansas,Athletic Training,300,2021-08-28,"[42.3095499, -88.9949611]",Partner
Baker University at Osage City High School,Massachusetts,Webmaster and Web Management,200,2021-11-29,"[38.631051899999996, -95.8269619]",Partner
Denver Seminary,Indiana,Air Traffic Control,200,2022-11-27,"[39.600584600000005, -105.02140619999999]",Group
Florida Career College - Hialeah,Georgia,Teacher Education ,600,2022-07-31,"[25.8556829, -80.31930859999999]",Partner
"Strayer University at HSBC, North America",Louisiana,Wildlife Management ,700,2021-09-27,"[36.7745121, -76.23867849999998]",Group
Saint Elizabeth School of Nursing,Mississippi,Linguistics ,500,2021-09-27,"[40.427385799999996, -86.8806123]",Group
University of Illinois at Urbana-Champaign at Shawnee Community College,Michigan,Religious Studies,400,2022-07-29,"[37.270476, -89.033354]",Partner
Friends University at Southwest Plains Regional Service Center,Kansas,Art ,800,2022-08-30,"[37.4781816, -100.8584595]",Group
Academy of Art - 60 Federal,Texas,Landscape Architecture ,200,2021-08-28,"[37.783294899999994, -122.39208159999998]",Partner
Indiana Wesleyan University at Wheeler High School,Kansas,International Studies ,500,2022-10-29,"[41.4792721, -87.17921369999998]",Group
PJ's College of Cosmetology,Wyoming,Printmaking ,600,2022-10-30,"[39.78457879999999, -85.7927508]",Partner
College of the Siskiyous,Oregon,Comparative Literature ,200,2021-09-29,"[41.4126153, -122.38936979999998]",Partner
Benedictine University at Batavia Fire Station #1,Ohio,English Literature,100,2021-09-30,"[41.851041200000004, -88.2926782]",Partner
Concordia University Chicago at Gage  Park High School,Idaho,Microbiology ,400,2021-11-28,"[41.7910374, -87.6894698]",Partner
William Penn University at Ankeny Site,Rhode Island,Biology,400,2021-09-28,"[41.7023056, -93.5970504]",Group
Community College of Aurora - Lowry,Delaware,Botany/Plant Biology,100,2022-10-31,"[39.727419899999994, -104.8790752]",Group
Morgan Community College,New Mexico,Agricultural/Biological Engineering and Bioengineering,500,2022-08-31,"[40.2589405, -103.7720041]",Group
Asylum Ave.Campus (formerly Htfd.College for Women,Maine,Music Therapy,600,2022-10-29,"[41.774578999999996, -72.70588289999998]",Partner
Hollywood Institute of Beauty Careers - North Bay Village,Oregon,Mental Health Services ,800,2021-08-29,"[25.848350399999998, -80.15482970000001]",Group
Lancaster Beauty School,California,Food Science,100,2021-08-31,"[34.695148700000004, -118.1477175]",Group
Brother Rice High School,Iowa,Biblical Studies,600,2022-12-31,"[41.711513700000005, -87.7201863]",Partner
Housatonic Community College,Oregon,Music Therapy,700,2021-08-27,"[41.1744542, -73.1912881]",Partner
Aero Adult/North City Center,Louisiana,Agriculture,500,2022-09-27,"[32.809053000000006, -117.14651869999999]",Group
Ivy Tech Community College of Indiana at Seymour High School,Michigan,Musical Theater,200,2022-10-27,"[38.9564996, -85.90617440000001]",Partner
Florida International University,Michigan,Industrial Management ,100,2022-10-30,"[25.7567674, -80.38200140000001]",Partner
"Strayer University at Verizon Wireless, Chandler",Mississippi,Art History,500,2021-11-28,"[33.2924052, -111.9622023]",Group
Aurora University at Belvidere North High School,Alaska,Sociology,600,2021-09-28,"[42.2885062, -88.8587007]",Partner
University of Phoenix at City of Mesa - Downtown,Georgia,Music Therapy,100,2022-09-29,"[33.415606, -111.8309278]",Partner
